Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Metabolism of RNA	ADAR	0.081494286	0.012555488
Metabolism of RNA	CASP1	0.036949141	0.012555488
Metabolism of RNA	CASP4	0.044035641	0.012555488
Metabolism of RNA	CDK4	0.072101345	0.012555488
Metabolism of RNA	CTSB	0.101202541	0.012555488
Metabolism of RNA	CTSH	0.184085835	0.012555488
Metabolism of RNA	CUL1	0.07502867	0.012555488
Metabolism of RNA	DBNL	0.089426562	0.012555488
Metabolism of RNA	DEK	0.084758355	0.012555488
Metabolism of RNA	EIF4EBP1	0.061969646	0.012555488
Metabolism of RNA	FBXW11	0.080704338	0.012555488
Metabolism of RNA	ID2	0.069028711	0.012555488
Metabolism of RNA	JUN	0.130527308	0.012555488
Metabolism of RNA	LGALS3BP	0.017614944	0.012555488
Metabolism of RNA	NR2C2	0.056642905	0.012555488
Metabolism of RNA	PDCD4	0.121082711	0.012555488
Metabolism of RNA	PHF11	0.0854833	0.012555488
Metabolism of RNA	PSMD1	0.064573995	0.012555488
Metabolism of RNA	PSMD3	0.050968776	0.012555488
Metabolism of RNA	SF3B1	0.097009038	0.012555488
Metabolism of RNA	SNRPD3	0.089358648	0.012555488
Metabolism of RNA	SNRPE	0.073168	0.012555488
Metabolism of RNA	SNRPF	0.112343858	0.012555488
Metabolism of RNA	SNRPG	0.077522686	0.012555488
Metabolism of RNA	SRRM1	0.078042794	0.012555488
Metabolism of RNA	SRSF3	0.09194433	0.012555488
Metabolism of RNA	ST13	0.125369152	0.012555488
Metabolism of RNA	TRIM5	0.058494854	0.012555488
Metabolism of RNA	TYW3	0.065846156	0.012555488
Metabolism of RNA	USP4	0.058097442	0.012555488
Metabolism of RNA	WNK1	0.109556476	0.012555488
Metabolism of RNA	ADARB1	0.05734935	0.012555488
Metabolism of RNA	ARHGAP15	0.087628581	0.012555488
Metabolism of RNA	ARPC5	0.126630648	0.012555488
Metabolism of RNA	BATF	0.072074905	0.012555488
Metabolism of RNA	BCLAF1	0.094495835	0.012555488
Metabolism of RNA	CABLES1	0.066663833	0.012555488
Metabolism of RNA	CCT7	0.074845578	0.012555488
Metabolism of RNA	CEP57	0.080434914	0.012555488
Metabolism of RNA	CHD3	0.071237275	0.012555488
Metabolism of RNA	CSNK2A1	0.076065252	0.012555488
Metabolism of RNA	DCP2	0.088501707	0.012555488
Metabolism of RNA	EED	0.070292882	0.012555488
Metabolism of RNA	EWSR1	0.094355352	0.012555488
Metabolism of RNA	HNRNPUL2	0.094116729	0.012555488
Metabolism of RNA	KDM1A	0.059670387	0.012555488
Metabolism of RNA	KHDRBS1	0.109806561	0.012555488
Metabolism of RNA	KHDRBS2	0.053036582	0.012555488
Metabolism of RNA	MTF2	0.071593986	0.012555488
