Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Processing of Capped Intron-Containing Pre-mRNA	NUP58	0.054774402	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	LSM3	0.055811009	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	LSM5	0.088382236	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	LSM6	0.075365181	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	LSM7	0.073539654	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	LSM8	0.091680397	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NAA38	0.087941773	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PARN	0.07363306	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ACLY	0.053151322	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPB	0.068555215	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPD1	0.076610104	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPD2	0.084648967	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPD3	0.089358648	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPE	0.073168	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPF	0.112343858	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRPG	0.077522686	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ZCRB1	0.061886141	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CAPG	0.143709878	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	GLOD4	0.0844818	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRRT	0.052520875	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SRSF11	0.101866795	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	EIF4A3	0.082224737	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPM	0.087654205	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPU	0.078993833	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ILF2	0.101161228	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ILF3	0.077640767	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ISY1	0.057113139	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	MAGOH	0.063731165	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PCBP1	0.120868843	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PNN	0.068526344	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SLBP	0.051614328	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNRNP70	0.063268197	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SNU13	0.08275616	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	FBXW11	0.080704338	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HDAC1	0.093281523	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NUP107	0.050754867	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PARP1	0.107082213	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RANBP2	0.070204607	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBM17	0.107693252	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBM25	0.094763312	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBM39	0.075646111	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF1	0.054422245	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TCERG1	0.063380992	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	TOP1	0.06910476	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ANP32A	0.103744302	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	AQR	0.050013889	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CDC40	0.064342534	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CDC5L	0.060858017	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CELF1	0.06658326	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CSNK2A1	0.076065252	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CSTF3	0.052664422	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CWC15	0.054599485	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CWC22	0.061852667	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	CWC27	0.068324894	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	DDX46	0.083789692	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	DHX15	0.070825891	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	DHX8	0.055500931	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	DHX9	0.054638191	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	EED	0.070292882	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	EWSR1	0.094355352	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	FRG1	0.061826293	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	FUS	0.068277006	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	G3BP1	0.119580028	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	GLYR1	0.052677503	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPA3	0.076325198	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPAB	0.069612154	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPC	0.097581776	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPD	0.089872874	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPF	0.076455341	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPH1	0.063799846	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPH3	0.067263564	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPK	0.075690988	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPR	0.079296483	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	HNRNPUL2	0.094116729	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ID2	0.069028711	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	ID3	0.104573589	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	KDM1A	0.059670387	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	KHDRBS1	0.109806561	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	KHDRBS2	0.053036582	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	MAP7D1	0.056661611	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	MKI67	0.090687033	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	MRE11	0.057657825	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NONO	0.096590156	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NR2C2	0.056642905	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NUP214	0.053738384	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NUP93	0.054211521	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	NUP98	0.063623087	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PAPOLA	0.067023364	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PAX5	0.114796826	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PPIG	0.110602686	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PRKDC	0.11487067	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PRMT1	0.062094592	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PRPF6	0.082859659	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PRPF8	0.079153965	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	PSMG2	0.090354743	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RAE1	0.053917224	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBBP4	0.103548412	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBM5	0.097973297	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RBMX	0.074617146	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RNPS1	0.086386415	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RPA1	0.072903952	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	RPL7L1	0.052913264	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SCAF8	0.050513938	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3A1	0.064526511	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3A2	0.05410521	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3A3	0.067343133	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3B1	0.097009038	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3B2	0.102617766	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3B4	0.065971055	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3B5	0.105826836	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SF3B6	0.106216584	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SFPQ	0.098162794	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SH3BGRL	0.0980503	0.018138646
Processing of Capped Intron-Containing Pre-mRNA	SMARCAD1	0.052872896	0.018138646
